Annotator	Micro F1	Date
DBpedia Spotlight		2014-10-21
TagMe 2		2014-10-21
Wikipedia Miner		2014-10-21
Babelfy		2014-10-21
TagMe 2	0.05049019307	2014-11-08
WAT	0.1702525765	2014-11-08
Wikipedia Miner	0.09339462966	2014-11-08
DBpedia Spotlight	0.04992570356	2014-11-08
NERD-ML	0.08217012882	2014-11-08
Babelfy	0.04455445707	2014-11-09
Kea		2014-11-10
Kea		2014-11-10
TagMe 2	0.04368537292	2014-11-26
Wikipedia Miner	0.06466595829	2014-11-26
WAT	0.1580177546	2014-11-26
DBpedia Spotlight	0.04669145122	2014-11-26
NERD-ML	0.07426916063	2014-11-26
Babelfy	0.05073170736	2014-11-26
Kea		2014-12-02
Kea	0	2014-12-02
Kea	0.02429764532	2014-12-04
TagMe 2	0.05049019307	2014-12-18
Wikipedia Miner	0.09339462966	2014-12-18
NERD-ML	0.08217012882	2014-12-18
Babelfy	0.04455445707	2014-12-18
DBpedia Spotlight	0.04933135211	2015-01-06
Wikipedia Miner	0.06466595829	2015-01-08
DBpedia Spotlight	0.04487369582	2015-01-08
NERD-ML	0.07426916063	2015-01-08
Babelfy	0.03395825997	2015-01-08
Kea	0	2015-01-08
TagMe 2	0.04368537292	2015-01-08
WAT	0.1580177546	2015-01-08
Kea	0	2015-01-12
Babelfy	0.04455445707	2015-01-12
WAT	0.1728972048	2015-01-12
TagMe 2	0.05049019307	2015-01-12
NERD-ML	0.08217012882	2015-01-12
Wikipedia Miner	0.09339462966	2015-01-12
DBpedia Spotlight	0.04933135211	2015-01-14
Dexter	0.1355181634	2015-01-23
DBpedia Spotlight	0.05026769638	2015-01-26
Wikipedia Miner	0.09339462966	2015-01-27
TagMe 2	0.05049019307	2015-02-02
WAT	0.1702525765	2015-02-02
NERD-ML	0.08217012882	2015-02-02
Babelfy	0.04455445707	2015-02-02
Dexter	0.1355782002	2015-02-02
Kea	0.05789860338	2015-02-02
Babelfy	0.04455445707	2015-02-18
DBpedia Spotlight	0.05082212389	2015-02-20
WAT	0.156293869	2015-02-25
TagMe 2	0.05049019307	2015-02-28
WAT	0.1711880118	2015-02-28
Babelfy	0.1186299026	2015-02-28
DBpedia Spotlight	0.04996282607	2015-02-28
Wikipedia Miner	0.09339462966	2015-02-28
NERD-ML	0.08217012882	2015-02-28
Dexter	0.1364643276	2015-02-28
Kea	0.05791563168	2015-02-28
Babelfy	0.08461538702	2015-03-02
Babelfy	0.1186299026	2015-03-16
WAT	0.1711880118	2015-03-17
DBpedia Spotlight	0.05088528618	2015-03-18
Dexter	0.1355782002	2015-03-18
TagMe 2	0.05049019307	2015-03-18
Wikipedia Miner	0.09339462966	2015-03-18
NERD-ML	0.08465608209	2015-03-18
Kea	0.05731922761	2015-03-18
Babelfy	0.1186299026	2015-03-23
DBpedia Spotlight	0.05104614794	2015-04-10
Babelfy	0.115384616	2015-04-16
Wikipedia Miner	0.09339462966	2015-04-18
DBpedia Spotlight	0.05046007782	2015-04-18
Wikipedia Miner	0.09339462966	2015-04-27
Babelfy	0.1221837029	2015-05-04
DBpedia Spotlight	0.04991087317	2015-05-06
TagMe 2	0.05049019307	2015-05-08
WAT	0.1742388755	2015-05-08
NERD-ML	0.08217012882	2015-05-08
Dexter	0	2015-05-18
DBpedia Spotlight	0.05052756518	2015-05-18
Babelfy	0.1221837029	2015-05-18
