Annotator	Micro F1	Date
DBpedia Spotlight		2014-10-21
TagMe 2		2014-10-21
Babelfy		2014-10-21
Wikipedia Miner		2014-10-21
TagMe 2	0.20158103108406067	2014-11-08
DBpedia Spotlight	0.2127198874950409	2014-11-08
WAT	0.6104651093482971	2014-11-08
Wikipedia Miner	0.301075279712677	2014-11-08
Babelfy	0.17320819199085236	2014-11-26
TagMe 2	0.18304228782653809	2014-11-26
Wikipedia Miner	0.2366340011358261	2014-11-26
WAT	0.5562043786048889	2014-11-26
DBpedia Spotlight	0.2022714912891388	2014-11-26
NERD-ML	0.2779809832572937	2014-11-26
Babelfy	0.1411411464214325	2014-11-26
Kea		2014-12-02
Kea		2014-12-02
Kea	0.0	2014-12-02
Kea	0.0	2014-12-02
WAT	0.6068563461303711	2014-12-05
DBpedia Spotlight	0.21292775869369507	2014-12-05
Babelfy	0.17320819199085236	2014-12-05
TagMe 2	0.18304228782653809	2015-01-06
Wikipedia Miner	0.2366340011358261	2015-01-06
WAT	0.5562043786048889	2015-01-06
DBpedia Spotlight	0.20355410873889923	2015-01-06
Kea	0.0	2015-01-08
NERD-ML	0.2779809832572937	2015-01-08
Babelfy	0.14517506957054138	2015-01-08
Kea	0.0	2015-01-12
TagMe 2	0.20158103108406067	2015-01-12
DBpedia Spotlight	0.2159978598356247	2015-01-12
NERD-ML	0.3029637634754181	2015-01-12
Babelfy	0.17320819199085236	2015-01-12
Wikipedia Miner	0.301075279712677	2015-01-12
WAT	0.6068563461303711	2015-01-12
Dexter	0.40024709701538086	2015-01-23
TagMe 2	0.18304228782653809	2015-01-25
DBpedia Spotlight	0.19734343886375427	2015-01-25
Wikipedia Miner	0.2366340011358261	2015-01-25
WAT	0.5591866374015808	2015-01-25
DBpedia Spotlight	0.2071918100118637	2015-02-05
WAT	0.6064139604568481	2015-02-05
Babelfy	0.17320819199085236	2015-02-05
DBpedia Spotlight	0.2132471799850464	2015-02-23
Babelfy	0.17320819199085236	2015-02-23
Babelfy	0.4910607933998108	2015-03-02
DBpedia Spotlight	0.21295040845870972	2015-03-02
Dexter	0.39975324273109436	2015-03-02
TagMe 2	0.0	2015-03-02
NERD-ML	0.3029637634754181	2015-03-02
WAT	0.0	2015-03-02
Wikipedia Miner	0.0	2015-03-02
Kea		2015-03-02
Babelfy	0.3750000298023224	2015-03-02
WAT	0.6068563461303711	2015-03-17
DBpedia Spotlight	0.21234169602394104	2015-03-18
Babelfy	0.4910607933998108	2015-03-18
Dexter	0.3992583751678467	2015-03-18
TagMe 2	0.20158103108406067	2015-03-18
Wikipedia Miner	0.301075279712677	2015-03-18
NERD-ML	0.3029637634754181	2015-03-18
Kea	0.23981669545173645	2015-03-18
Babelfy	0.5148755311965942	2015-05-04
Entityclassifier.eu NER		2015-05-19
Entityclassifier.eu NER	0.483280748128891	2015-05-19
Dexter		2015-05-19
TagMe 2	0.20158103108406067	2015-05-19
DBpedia Spotlight	0.20771513879299164	2015-05-19
Babelfy	0.5148755311965942	2015-05-19
WAT	0.6036630272865295	2015-05-19
Wikipedia Miner	0.301075279712677	2015-05-19
NERD-ML	0.3029637634754181	2015-05-19
Kea	0.23747773468494415	2015-05-19
WAT		2015-06-03
Entityclassifier.eu NER	0.483280748128891	2015-06-03
TagMe 2	0.20158103108406067	2015-06-03
DBpedia Spotlight	0.2132471799850464	2015-06-03
